contrast,family,treatment,reference,n_histories,mean_difference,difference_sd,min_difference,max_difference,t_95_low,t_95_high,simultaneous_confidence,simultaneous_low,simultaneous_high,exact_sign_flip_p,holm_adjusted_p,absolute_effect_at_least_10pp,simultaneous_interval_excludes_zero,contrast_passes_gate
D1-D0,primary,D1,D0,15,0.01666666666666666,0.22756474745819988,-0.5,0.41666666666666663,-0.10935448998655511,0.14268782331988844,0.9833333333333333,-0.14302037849486482,0.17635371182819815,0.8544921875,0.8544921875,False,False,False
D2-D0,primary,D2,D0,15,-0.09999999999999999,0.1186899388629954,-0.33333333333333326,0.08333333333333337,-0.1657282973117895,-0.034271702688210476,0.9833333333333333,-0.18328726588425553,-0.016712734115744463,0.009521484375,0.028564453125,True,True,True
D3-D0,primary,D3,D0,15,-0.15000000000000002,0.20701966780270625,-0.5,0.16666666666666663,-0.26464367077002954,-0.03535632922997051,0.9833333333333333,-0.29527012382622364,-0.004729876173776432,0.02001953125,0.0400390625,True,True,True
D1-D2,posthoc_direct_renderer,D1,D2,15,0.11666666666666665,0.19364916731037085,-0.25,0.41666666666666663,0.009427332270776453,0.22390600106255687,,,,0.04736328125,0.0947265625,True,,
D1-D3,posthoc_direct_renderer,D1,D3,15,0.16666666666666669,0.1966989481173608,-0.16666666666666663,0.6666666666666667,0.05773841995404666,0.2755949133792867,,,,0.005126953125,0.015380859375,True,,
D2-D3,posthoc_direct_renderer,D2,D3,15,0.050000000000000024,0.17480147469502524,-0.25,0.3333333333333333,-0.046801830124423315,0.14680183012442335,,,,0.33984375,0.33984375,False,,
D3C-D3,cue_diagnostic,D3C,D3,15,-0.011111111111111094,0.1721325931647741,-0.4166666666666667,0.25,-0.10643496390745796,0.08421274168523576,,,,0.9049072265625,,False,,
