model,subset,baseline_harmful,baseline_n,history_count,equal_history_mean,baseline_rate,mean_difference,bootstrap_ci_low,bootstrap_ci_high,histories_below_baseline,histories_equal_baseline,histories_above_baseline,bootstrap_draws,bootstrap_seed
Qwen3-30B,all_h1_h8,121,250,8,0.22112500000000002,0.484,-0.26287499999999997,-0.33483333333333337,-0.19124999999999998,8,0,0,200000,20260803
Mistral-Large,all_h1_h8_posthoc,88,160,8,0.36979166666666663,0.55,-0.18020833333333341,-0.2666666666666667,-0.09270833333333334,8,0,0,200000,20260804
Opus 4.1,all_h1_h8,69,150,8,0.4797158024330188,0.46,0.019715802433018792,-0.0812982093663911,0.12537876997549918,4,0,4,200000,20260805
Opus 4.1,h2_h8,69,150,7,0.4494371075424977,0.46,-0.010562892457502304,-0.10004734739650267,0.07996642670818055,4,0,3,200000,20260806
